configured,dist_a,dist_b,n_entities,n_metrics,n_periods,seed,observed,error
0.0,beta,beta,100,2,24,7003,-0.0025603403993001935,0.0025603403993001935
0.0,beta,beta,100,2,24,7004,0.004845086405454706,0.004845086405454706
0.3,beta,beta,100,2,24,7000,0.26202774460496736,0.03797225539503263
0.3,beta,beta,100,2,24,7001,0.2500167415573614,0.04998325844263857
0.3,beta,beta,100,2,24,7002,0.30913785999126303,0.009137859991263042
0.3,beta,beta,100,2,24,7003,0.2894726449960386,0.010527355003961403
0.3,beta,beta,100,2,24,7004,0.30447286318662814,0.004472863186628151
0.7,beta,beta,100,2,24,7000,0.675232195343669,0.024767804656330994
0.7,beta,beta,100,2,24,7001,0.6690712443252168,0.030928755674783148
0.7,beta,beta,100,2,24,7002,0.7166517349808988,0.01665173498089889
0.7,beta,beta,100,2,24,7003,0.6934436374920799,0.006556362507920022
0.7,beta,beta,100,2,24,7004,0.7051132297925643,0.005113229792564344
-0.7,beta,poisson,100,2,24,7000,-0.665777345177691,0.03422265482230891
-0.7,beta,poisson,100,2,24,7001,-0.6746012141180032,0.025398785881996733
-0.7,beta,poisson,100,2,24,7002,-0.6756714683938279,0.0243285316061721
-0.7,beta,poisson,100,2,24,7003,-0.682005234136955,0.017994765863044937
-0.7,beta,poisson,100,2,24,7004,-0.6751536866610683,0.024846313338931614
-0.3,beta,poisson,100,2,24,7000,-0.29238235399208656,0.007617646007913426
-0.3,beta,poisson,100,2,24,7001,-0.3123906727605829,0.012390672760582921
-0.3,beta,poisson,100,2,24,7002,-0.3152889449821706,0.015288944982170594
-0.3,beta,poisson,100,2,24,7003,-0.3184017351481182,0.018401735148118215
-0.3,beta,poisson,100,2,24,7004,-0.31591984013812885,0.01591984013812886
0.0,beta,poisson,100,2,24,7000,0.0156804073301158,0.0156804073301158
0.0,beta,poisson,100,2,24,7001,-0.0019014527066631222,0.0019014527066631222
0.0,beta,poisson,100,2,24,7002,-0.007708131075560336,0.007708131075560336
0.0,beta,poisson,100,2,24,7003,0.0024880554585621152,0.0024880554585621152
0.0,beta,poisson,100,2,24,7004,-0.0057902496052466956,0.0057902496052466956
0.3,beta,poisson,100,2,24,7000,0.32673720692725844,0.02673720692725845
0.3,beta,poisson,100,2,24,7001,0.2982462842646661,0.001753715735333894
0.3,beta,poisson,100,2,24,7002,0.3079677039029585,0.007967703902958534
0.3,beta,poisson,100,2,24,7003,0.3249913236722165,0.024991323672216514
0.3,beta,poisson,100,2,24,7004,0.31160384744579805,0.011603847445798066
0.7,beta,poisson,100,2,24,7000,0.7068406408179625,0.00684064081796254
0.7,beta,poisson,100,2,24,7001,0.6841258490717262,0.01587415092827371
